manufacturer,type,size,year,condition,fuel,odometer,transmission,drive,cylinders,paint_color,price
ram,truck,full-size,2011,good,gas,174000,automatic,4wd,8 cylinders,silver,9999
toyota,SUV,mid-size,2006,like new,gas,180000,automatic,fwd,4 cylinders,black,9999
hyundai,sedan,full-size,2016,good,gas,23000,automatic,4wd,4 cylinders,black,10000
chevrolet,SUV,full-size,2006,excellent,gas,78000,automatic,4wd,8 cylinders,white,10000
jeep,SUV,full-size,2016,excellent,gas,81000,automatic,fwd,4 cylinders,blue,10000
mazda,mini-van,mid-size,2008,excellent,gas,83492,manual,fwd,5 cylinders,red,10000
bmw,coupe,compact,2010,good,gas,90000,manual,rwd,6 cylinders,black,10000
mercury,sedan,full-size,2005,excellent,gas,93360,automatic,rwd,8 cylinders,grey,10000
volkswagen,hatchback,compact,2015,excellent,gas,103243,automatic,fwd,4 cylinders,silver,10000
toyota,SUV,mid-size,2007,excellent,gas,137000,automatic,rwd,6 cylinders,custom,10000
ram,truck,full-size,2007,fair,diesel,161325,manual,4wd,6 cylinders,silver,10000
ford,truck,full-size,2006,good,gas,200000,automatic,4wd,8 cylinders,silver,10000
chrysler,sedan,mid-size,2015,excellent,gas,65000,automatic,fwd,4 cylinders,white,10300
chevrolet,SUV,full-size,2012,excellent,gas,196000,automatic,4wd,8 cylinders,white,10300
toyota,hatchback,compact,2013,good,hybrid,64066,manual,fwd,4 cylinders,silver,10325
chevrolet,SUV,mid-size,2013,good,gas,245000,automatic,4wd,8 cylinders,black,10400
toyota,truck,mid-size,2006,good,gas,103000,automatic,4wd,6 cylinders,silver,10490
subaru,wagon,mid-size,2011,good,gas,103948,automatic,4wd,4 cylinders,grey,10495
lincoln,SUV,full-size,2008,good,gas,141882,automatic,4wd,6 cylinders,brown,10495
subaru,SUV,mid-size,2015,good,gas,147000,manual,4wd,4 cylinders,blue,10495
ford,sedan,full-size,2016,like new,gas,73210,automatic,fwd,4 cylinders,grey,10499
chevrolet,coupe,compact,2017,like new,gas,10500,automatic,fwd,4 cylinders,purple,10500
ford,coupe,sub-compact,2012,excellent,gas,95375,manual,rwd,6 cylinders,black,10500
ford,SUV,full-size,2012,excellent,gas,106000,automatic,fwd,6 cylinders,black,10500
buick,SUV,mid-size,2012,excellent,gas,121124,automatic,4wd,6 cylinders,brown,10500
lexus,sedan,full-size,2007,excellent,gas,151000,automatic,rwd,8 cylinders,silver,10500
bmw,sedan,mid-size,2011,excellent,gas,151653,automatic,4wd,6 cylinders,white,10500
ford,SUV,full-size,2013,excellent,gas,154100,automatic,4wd,6 cylinders,custom,10500
jeep,SUV,full-size,2007,good,gas,160000,automatic,4wd,6 cylinders,red,10500
ford,truck,full-size,2010,good,gas,171900,automatic,rwd,8 cylinders,red,10500
ford,pickup,full-size,2000,good,diesel,263000,automatic,4wd,8 cylinders,white,10500
toyota,pickup,mid-size,2009,fair,gas,360000,automatic,rwd,6 cylinders,silver,10500
ford,SUV,mid-size,2015,excellent,gas,102421,automatic,fwd,4 cylinders,black,10680
hyundai,sedan,mid-size,2017,good,gas,96905,automatic,fwd,4 cylinders,silver,10700
buick,sedan,mid-size,2013,excellent,gas,117653,automatic,fwd,6 cylinders,white,10750
ford,van,full-size,2014,good,gas,184521,automatic,rwd,8 cylinders,white,10795
chevrolet,truck,full-size,2009,good,gas,176000,automatic,4wd,8 cylinders,white,10888
chevrolet,pickup,full-size,2006,excellent,gas,83836,automatic,4wd,5 cylinders,red,10900
chrysler,van,full-size,2014,excellent,gas,97000,automatic,fwd,6 cylinders,white,10900
dodge,SUV,full-size,2015,good,gas,100315,automatic,4wd,6 cylinders,silver,10900
nissan,SUV,mid-size,2010,good,gas,120000,automatic,4wd,6 cylinders,grey,10900
ram,truck,mid-size,2011,excellent,gas,123000,automatic,rwd,6 cylinders,white,10900
gmc,van,full-size,2010,good,gas,147000,automatic,rwd,8 cylinders,white,10900
chevrolet,truck,full-size,2008,like new,gas,180000,automatic,4wd,8 cylinders,silver,10900
ford,truck,full-size,2010,excellent,gas,180000,automatic,4wd,8 cylinders,white,10900
gmc,SUV,full-size,2010,good,gas,223500,automatic,4wd,8 cylinders,black,10900
ford,truck,full-size,2014,excellent,gas,231000,automatic,rwd,6 cylinders,white,10900
nissan,sedan,compact,2018,excellent,gas,38737,automatic,fwd,4 cylinders,custom,10925
nissan,sedan,full-size,2016,excellent,gas,54599,automatic,fwd,4 cylinders,grey,10950
lexus,sedan,full-size,2005,like new,gas,87532,automatic,rwd,8 cylinders,white,10950
buick,sedan,mid-size,2012,excellent,gas,98752,automatic,4wd,6 cylinders,black,10950
ford,SUV,full-size,2011,good,gas,132590,automatic,fwd,6 cylinders,white,10980
ford,SUV,full-size,2011,good,gas,132590,automatic,fwd,6 cylinders,white,10980
jeep,SUV,compact,2016,excellent,gas,59000,automatic,fwd,4 cylinders,grey,10990
kia,sedan,full-size,2013,like new,gas,73000,automatic,fwd,4 cylinders,white,10990
chevrolet,sedan,mid-size,2014,excellent,diesel,86900,automatic,fwd,4 cylinders,silver,10990
bmw,sedan,mid-size,2010,excellent,gas,106385,automatic,4wd,6 cylinders,red,10990
ford,truck,full-size,2011,good,gas,194698,automatic,rwd,8 cylinders,white,10990
ford,pickup,full-size,2011,excellent,gas,232988,automatic,4wd,8 cylinders,white,10990
buick,SUV,full-size,2014,good,gas,60394,automatic,fwd,4 cylinders,custom,10994
mitsubishi,sedan,compact,2015,excellent,gas,45425,automatic,fwd,4 cylinders,silver,10995
volkswagen,sedan,full-size,2014,like new,gas,60850,automatic,fwd,4 cylinders,black,10995
ford,sedan,mid-size,2011,like new,gas,76000,automatic,fwd,6 cylinders,white,10995
gmc,SUV,compact,2010,excellent,gas,78016,automatic,4wd,6 cylinders,black,10995
bmw,sedan,mid-size,2008,excellent,gas,78164,automatic,rwd,6 cylinders,blue,10995
hyundai,sedan,full-size,2015,excellent,gas,81000,automatic,fwd,4 cylinders,red,10995
gmc,SUV,mid-size,2013,excellent,gas,83566,automatic,fwd,4 cylinders,black,10995
chevrolet,sedan,compact,2016,excellent,gas,86330,automatic,fwd,4 cylinders,black,10995
mini,sedan,sub-compact,2013,excellent,gas,87367,automatic,fwd,4 cylinders,grey,10995
mini,sedan,sub-compact,2013,excellent,gas,87367,automatic,fwd,4 cylinders,grey,10995
acura,sedan,mid-size,2012,excellent,gas,108000,automatic,fwd,6 cylinders,grey,10995
bmw,SUV,full-size,2011,good,gas,108600,automatic,4wd,6 cylinders,black,10995
ram,truck,full-size,2006,good,gas,110570,automatic,4wd,8 cylinders,black,10995
toyota,SUV,mid-size,2010,excellent,gas,114969,automatic,4wd,4 cylinders,silver,10995
chevrolet,pickup,full-size,2009,excellent,gas,121000,automatic,4wd,8 cylinders,silver,10995
ford,SUV,full-size,2011,good,gas,123316,automatic,4wd,6 cylinders,black,10995
ford,truck,full-size,2006,excellent,gas,135143,automatic,4wd,8 cylinders,black,10995
ram,pickup,full-size,2011,excellent,gas,152000,automatic,rwd,8 cylinders,white,10995
lexus,SUV,full-size,2006,good,gas,154541,automatic,4wd,6 cylinders,white,10995
chevrolet,SUV,full-size,2007,good,gas,162339,automatic,rwd,8 cylinders,white,10995
ford,SUV,full-size,2014,good,gas,170259,automatic,4wd,6 cylinders,white,10995
jeep,SUV,mid-size,2015,good,gas,105523,automatic,4wd,4 cylinders,grey,10998
dodge,sedan,full-size,2015,good,gas,77024,automatic,fwd,4 cylinders,black,10999
toyota,hatchback,full-size,2012,excellent,hybrid,82284,automatic,fwd,4 cylinders,custom,10999
volkswagen,sedan,compact,2015,excellent,gas,98000,automatic,fwd,4 cylinders,silver,10999
hyundai,sedan,mid-size,2015,excellent,gas,115399,automatic,fwd,4 cylinders,blue,10999
bmw,sedan,mid-size,2009,like new,gas,125500,manual,4wd,6 cylinders,blue,10999
chevrolet,truck,full-size,2009,excellent,diesel,174148,automatic,fwd,8 cylinders,red,10999
nissan,hatchback,sub-compact,2007,excellent,gas,72000,automatic,rwd,6 cylinders,blue,11000
ford,truck,full-size,2002,fair,diesel,72859,manual,rwd,8 cylinders,red,11000
ford,SUV,mid-size,2014,good,gas,73010,automatic,4wd,4 cylinders,orange,11000
buick,sedan,mid-size,2012,good,hybrid,88217,automatic,fwd,4 cylinders,brown,11000
toyota,sedan,mid-size,2014,excellent,gas,123400,automatic,fwd,6 cylinders,red,11000
nissan,truck,full-size,2008,fair,gas,133000,automatic,4wd,8 cylinders,blue,11000
ford,pickup,full-size,2006,excellent,diesel,165000,automatic,4wd,8 cylinders,white,11000
ford,SUV,full-size,2003,good,diesel,165000,automatic,4wd,8 cylinders,black,11000
ford,truck,full-size,2006,excellent,diesel,299000,automatic,4wd,8 cylinders,white,11000
mini,sedan,sub-compact,2013,excellent,gas,66936,automatic,fwd,4 cylinders,white,11009
honda,sedan,mid-size,2014,good,gas,83975,manual,fwd,4 cylinders,grey,11200
ford,sedan,full-size,2014,like new,gas,96240,automatic,4wd,6 cylinders,white,11200
honda,SUV,full-size,2013,good,gas,100124,automatic,4wd,4 cylinders,grey,11200
toyota,hatchback,full-size,2015,like new,gas,138014,automatic,fwd,4 cylinders,black,11351
fiat,hatchback,sub-compact,2015,excellent,gas,75303,automatic,fwd,4 cylinders,red,11488
dodge,SUV,full-size,2017,excellent,gas,57327,automatic,fwd,4 cylinders,black,11492
cadillac,sedan,full-size,2011,excellent,gas,95500,automatic,4wd,6 cylinders,white,11495
acura,sedan,mid-size,2011,good,gas,105522,automatic,fwd,4 cylinders,white,11495
ford,SUV,mid-size,2011,excellent,gas,105541,automatic,4wd,6 cylinders,red,11495
nissan,hatchback,mid-size,2018,excellent,gas,23519,automatic,fwd,4 cylinders,blue,11499
toyota,sedan,compact,2017,excellent,gas,40000,automatic,fwd,4 cylinders,red,11499
toyota,sedan,mid-size,2014,excellent,gas,88851,automatic,fwd,4 cylinders,black,11499
toyota,sedan,mid-size,2018,new,gas,9000,automatic,fwd,4 cylinders,black,11500
hyundai,sedan,mid-size,2016,like new,gas,41000,automatic,fwd,4 cylinders,brown,11500
subaru,SUV,compact,2009,excellent,gas,71000,automatic,4wd,4 cylinders,green,11500
chrysler,mini-van,mid-size,2015,excellent,gas,80000,automatic,fwd,6 cylinders,custom,11500
nissan,sedan,full-size,2017,excellent,gas,82087,automatic,4wd,4 cylinders,blue,11500
volkswagen,SUV,full-size,2013,excellent,gas,85000,automatic,4wd,4 cylinders,black,11500
lexus,sedan,full-size,2007,excellent,gas,98000,automatic,rwd,8 cylinders,black,11500
subaru,hatchback,full-size,2014,excellent,gas,129357,automatic,4wd,4 cylinders,white,11500
ford,SUV,full-size,2003,excellent,gas,132000,automatic,4wd,10 cylinders,green,11500
mazda,sedan,full-size,2014,good,gas,132618,manual,fwd,4 cylinders,grey,11500
toyota,SUV,mid-size,2007,excellent,gas,178157,automatic,4wd,6 cylinders,white,11500
ford,truck,full-size,2007,good,diesel,230000,automatic,4wd,8 cylinders,brown,11500
mercedes-benz,SUV,full-size,2009,like new,gas,105825,automatic,rwd,8 cylinders,black,11595
ram,pickup,full-size,2001,good,diesel,100314,automatic,4wd,8 cylinders,purple,11599
hyundai,sedan,mid-size,2011,excellent,gas,48714,automatic,fwd,4 cylinders,blue,11700
ford,sedan,full-size,2015,like new,gas,67190,automatic,fwd,4 cylinders,black,11800
bmw,coupe,full-size,2006,excellent,gas,96000,automatic,rwd,8 cylinders,silver,11800
ford,sedan,full-size,2016,good,gas,92000,automatic,fwd,6 cylinders,grey,11880
chevrolet,truck,full-size,2008,good,gas,210000,automatic,4wd,8 cylinders,black,11888
chevrolet,SUV,full-size,2015,good,gas,116367,automatic,4wd,4 cylinders,white,11896
chrysler,van,full-size,2014,good,gas,84370,automatic,fwd,6 cylinders,grey,11900
volvo,sedan,mid-size,2014,excellent,gas,92344,automatic,fwd,5 cylinders,silver,11900
subaru,wagon,mid-size,2014,excellent,gas,142000,automatic,4wd,4 cylinders,black,11900
bmw,sedan,mid-size,2002,excellent,gas,149356,manual,rwd,8 cylinders,grey,11900
gmc,van,full-size,2012,excellent,gas,157000,automatic,rwd,8 cylinders,white,11900
gmc,SUV,full-size,2014,good,gas,159502,automatic,4wd,6 cylinders,white,11900
ford,truck,full-size,2007,excellent,gas,166000,automatic,4wd,8 cylinders,red,11900
toyota,pickup,full-size,2010,excellent,gas,169000,automatic,4wd,8 cylinders,silver,11900
mercedes-benz,wagon,full-size,2010,excellent,gas,100000,automatic,4wd,6 cylinders,white,11950
ford,SUV,mid-size,2011,excellent,gas,127000,automatic,4wd,6 cylinders,blue,11950
kia,sedan,full-size,2016,excellent,gas,87319,automatic,fwd,4 cylinders,grey,11980
mitsubishi,other,full-size,2004,good,diesel,193843,automatic,rwd,6 cylinders,white,11988
gmc,SUV,full-size,2008,excellent,gas,172000,automatic,4wd,8 cylinders,custom,11990
kia,sedan,compact,2018,good,gas,20093,automatic,fwd,4 cylinders,white,11995
nissan,sedan,compact,2017,excellent,gas,30452,automatic,fwd,4 cylinders,silver,11995
nissan,sedan,mid-size,2013,excellent,gas,51700,automatic,fwd,4 cylinders,white,11995
dodge,mini-van,mid-size,2013,good,gas,59908,automatic,rwd,6 cylinders,white,11995
ford,sedan,mid-size,2016,excellent,gas,70181,automatic,fwd,4 cylinders,grey,11995
acura,SUV,full-size,2008,like new,gas,91512,automatic,4wd,6 cylinders,silver,11995
toyota,sedan,compact,2013,excellent,gas,91596,automatic,fwd,4 cylinders,red,11995
bmw,coupe,sub-compact,2010,excellent,gas,92495,automatic,rwd,6 cylinders,grey,11995
chevrolet,SUV,full-size,2005,excellent,gas,92936,automatic,4wd,8 cylinders,custom,11995
ford,van,full-size,2007,good,gas,93218,automatic,rwd,8 cylinders,white,11995
subaru,SUV,full-size,2015,excellent,gas,96686,automatic,4wd,4 cylinders,grey,11995
bmw,convertible,mid-size,2009,good,gas,103349,automatic,rwd,6 cylinders,silver,11995
lexus,sedan,mid-size,2011,excellent,gas,107000,automatic,fwd,6 cylinders,red,11995
lexus,sedan,compact,2012,excellent,hybrid,109223,automatic,fwd,4 cylinders,silver,11995
hyundai,sedan,full-size,2016,excellent,gas,113152,automatic,fwd,4 cylinders,blue,11995
jeep,SUV,full-size,2012,excellent,gas,135300,automatic,4wd,6 cylinders,black,11995
gmc,pickup,full-size,2008,excellent,gas,151609,automatic,4wd,8 cylinders,black,11995
gmc,SUV,full-size,2008,excellent,gas,168102,automatic,4wd,8 cylinders,black,11995
chevrolet,SUV,full-size,2008,excellent,gas,169000,automatic,rwd,8 cylinders,white,11995
gmc,truck,full-size,2005,good,diesel,176488,automatic,rwd,8 cylinders,white,11995
ram,truck,full-size,2008,good,gas,108056,automatic,rwd,8 cylinders,white,11998
ford,convertible,compact,2005,excellent,gas,102594,automatic,rwd,8 cylinders,silver,11999
cadillac,sedan,mid-size,2012,excellent,gas,122771,automatic,rwd,6 cylinders,grey,11999
bmw,sedan,mid-size,2013,excellent,gas,143201,automatic,rwd,4 cylinders,blue,11999
toyota,pickup,full-size,2009,excellent,gas,145485,automatic,rwd,4 cylinders,grey,11999
pontiac,sedan,full-size,2002,good,gas,24500,automatic,fwd,6 cylinders,purple,12000
cadillac,other,full-size,2001,like new,gas,26000,automatic,fwd,8 cylinders,custom,12000
gmc,truck,full-size,2010,good,gas,89240,automatic,rwd,8 cylinders,white,12000
nissan,sedan,mid-size,2017,like new,gas,92600,automatic,fwd,6 cylinders,black,12000
ford,coupe,full-size,2014,excellent,gas,99356,automatic,rwd,6 cylinders,green,12000
dodge,coupe,full-size,2011,good,gas,109000,manual,rwd,8 cylinders,red,12000
bmw,SUV,mid-size,2006,excellent,gas,115000,automatic,4wd,8 cylinders,black,12000
ram,pickup,compact,2007,excellent,gas,116000,automatic,4wd,8 cylinders,silver,12000
audi,sedan,mid-size,2012,like new,gas,124000,automatic,4wd,4 cylinders,white,12000
ford,van,full-size,2001,good,diesel,295000,automatic,4wd,8 cylinders,white,12000
nissan,sedan,compact,2016,excellent,gas,29200,automatic,fwd,4 cylinders,grey,12200
ford,pickup,full-size,2004,excellent,gas,198000,automatic,4wd,8 cylinders,black,12200
volkswagen,sedan,mid-size,2013,excellent,diesel,50168,automatic,fwd,4 cylinders,blue,12250
ford,hatchback,mid-size,2016,excellent,gas,65132,automatic,fwd,4 cylinders,grey,12250
honda,hatchback,compact,2013,like new,gas,37879,manual,fwd,4 cylinders,blue,12300
chevrolet,SUV,full-size,2007,excellent,gas,120000,automatic,4wd,8 cylinders,grey,12350
hyundai,sedan,compact,2019,like new,gas,37307,automatic,fwd,4 cylinders,red,12391
toyota,SUV,mid-size,2012,new,gas,49120,automatic,4wd,4 cylinders,custom,12450
honda,SUV,mid-size,2014,excellent,gas,104715,automatic,4wd,4 cylinders,black,12495
honda,SUV,mid-size,2014,excellent,gas,104715,automatic,4wd,4 cylinders,black,12495
honda,SUV,mid-size,2014,excellent,gas,104715,automatic,4wd,4 cylinders,black,12495
ram,truck,full-size,2010,like new,gas,132632,automatic,4wd,8 cylinders,grey,12495
mercedes-benz,sedan,full-size,2012,excellent,gas,123896,automatic,4wd,6 cylinders,black,12499
chevrolet,sedan,mid-size,2017,like new,gas,56347,automatic,fwd,4 cylinders,blue,12500
ford,pickup,full-size,2008,good,gas,70000,manual,rwd,8 cylinders,green,12500
dodge,mini-van,full-size,2014,excellent,gas,71509,automatic,fwd,6 cylinders,white,12500
bmw,wagon,mid-size,2009,excellent,gas,75000,automatic,4wd,6 cylinders,blue,12500
chevrolet,SUV,mid-size,2014,excellent,gas,78000,automatic,4wd,6 cylinders,blue,12500
ford,truck,full-size,2003,excellent,gas,80700,automatic,4wd,8 cylinders,red,12500
mercedes-benz,sedan,full-size,2002,good,gas,82000,automatic,rwd,12 cylinders,blue,12500
infiniti,sedan,mid-size,2011,excellent,gas,87700,automatic,4wd,6 cylinders,grey,12500
chevrolet,truck,full-size,2005,excellent,gas,105125,automatic,rwd,8 cylinders,black,12500
ford,pickup,full-size,2010,excellent,gas,134000,automatic,rwd,8 cylinders,red,12500
chevrolet,truck,full-size,2005,excellent,diesel,137000,automatic,rwd,8 cylinders,blue,12500
gmc,SUV,full-size,2014,excellent,gas,144000,automatic,4wd,6 cylinders,red,12500
ford,truck,full-size,2011,excellent,gas,146879,automatic,4wd,8 cylinders,blue,12500
ford,truck,full-size,2003,fair,diesel,171656,automatic,4wd,8 cylinders,white,12500
cadillac,SUV,full-size,2009,excellent,gas,188000,automatic,4wd,8 cylinders,white,12500
gmc,truck,full-size,2005,excellent,gas,157505,automatic,4wd,8 cylinders,white,12600
honda,sedan,mid-size,2014,excellent,gas,97619,automatic,fwd,4 cylinders,silver,12800
honda,sedan,mid-size,2014,excellent,gas,97619,automatic,fwd,4 cylinders,silver,12800
chevrolet,sedan,full-size,2014,like new,gas,19985,automatic,fwd,6 cylinders,silver,12900
audi,SUV,mid-size,2012,excellent,gas,94000,automatic,4wd,4 cylinders,white,12900
mercedes-benz,sedan,full-size,2007,excellent,gas,100194,automatic,4wd,8 cylinders,silver,12900
cadillac,SUV,full-size,2008,excellent,gas,143684,automatic,rwd,8 cylinders,blue,12900
gmc,truck,full-size,2005,good,diesel,187565,automatic,rwd,8 cylinders,black,12900
jeep,SUV,full-size,2012,good,gas,96179,automatic,rwd,6 cylinders,red,12950
buick,SUV,full-size,2012,excellent,gas,131000,automatic,4wd,6 cylinders,brown,12988
hyundai,sedan,full-size,2015,excellent,gas,59586,automatic,fwd,4 cylinders,grey,12990
ram,pickup,full-size,2006,excellent,gas,161758,automatic,4wd,8 cylinders,black,12990
ford,truck,full-size,2005,good,gas,175721,automatic,rwd,8 cylinders,white,12990
subaru,sedan,mid-size,2012,excellent,gas,77561,automatic,4wd,6 cylinders,white,12991
hyundai,sedan,mid-size,2015,excellent,gas,60859,automatic,fwd,4 cylinders,red,12995
ford,truck,full-size,2007,like new,diesel,67461,automatic,rwd,8 cylinders,white,12995
mini,sedan,sub-compact,2012,excellent,gas,68975,automatic,fwd,4 cylinders,blue,12995
toyota,sedan,full-size,2015,like new,gas,69734,automatic,fwd,4 cylinders,white,12995
chevrolet,van,full-size,2012,good,gas,82471,automatic,rwd,8 cylinders,white,12995
ram,van,mid-size,2017,excellent,gas,102460,automatic,fwd,4 cylinders,white,12995
volvo,SUV,full-size,2013,excellent,gas,107311,automatic,4wd,6 cylinders,silver,12995
chevrolet,SUV,full-size,2017,excellent,gas,117000,automatic,fwd,6 cylinders,silver,12995
chevrolet,van,full-size,2017,excellent,gas,122067,automatic,rwd,8 cylinders,white,12995
ford,SUV,full-size,2014,good,gas,135387,automatic,fwd,6 cylinders,silver,12995
gmc,SUV,full-size,2014,excellent,gas,139852,automatic,fwd,4 cylinders,custom,12995
ford,pickup,mid-size,2003,like new,gas,146487,automatic,4wd,6 cylinders,green,12995
toyota,mini-van,full-size,2013,like new,gas,157000,automatic,rwd,6 cylinders,black,12995
ford,pickup,full-size,2011,excellent,gas,184464,automatic,4wd,8 cylinders,red,12995
ford,truck,full-size,2006,excellent,diesel,232091,automatic,4wd,8 cylinders,white,12995
ford,truck,full-size,2006,excellent,diesel,232091,automatic,4wd,8 cylinders,white,12995
kia,sedan,mid-size,2016,excellent,gas,36283,automatic,fwd,4 cylinders,silver,12999
chevrolet,SUV,mid-size,2013,excellent,gas,97381,automatic,4wd,4 cylinders,white,12999
honda,van,full-size,2011,good,gas,121865,automatic,fwd,6 cylinders,grey,12999
subaru,sedan,mid-size,2004,good,gas,3400,manual,4wd,4 cylinders,blue,13000
volkswagen,sedan,compact,2015,like new,diesel,50010,automatic,fwd,4 cylinders,red,13000
ford,mini-van,full-size,2015,excellent,gas,60000,automatic,fwd,4 cylinders,white,13000
ram,truck,full-size,2009,excellent,gas,100000,automatic,rwd,8 cylinders,white,13000
ford,pickup,full-size,2008,excellent,diesel,217218,automatic,rwd,8 cylinders,white,13000
ram,truck,full-size,2005,like new,diesel,341000,automatic,4wd,6 cylinders,white,13000
volkswagen,sedan,full-size,2013,excellent,diesel,65675,automatic,fwd,4 cylinders,grey,13124
acura,sedan,mid-size,2015,excellent,gas,100107,automatic,fwd,6 cylinders,white,13200
mercedes-benz,sedan,mid-size,2011,excellent,gas,83078,automatic,4wd,6 cylinders,white,13250
toyota,sedan,full-size,2013,excellent,gas,99800,automatic,fwd,6 cylinders,white,13250
mazda,hatchback,compact,2015,excellent,gas,57441,automatic,fwd,4 cylinders,blue,13303
toyota,pickup,mid-size,2013,excellent,gas,152778,automatic,rwd,4 cylinders,silver,13350
acura,SUV,full-size,2012,excellent,gas,130186,automatic,4wd,6 cylinders,silver,13430
lincoln,sedan,mid-size,2013,excellent,gas,76688,automatic,fwd,6 cylinders,red,13495
mercedes-benz,SUV,mid-size,2013,good,diesel,123269,automatic,4wd,4 cylinders,grey,13495
nissan,SUV,mid-size,2013,like new,gas,124378,automatic,rwd,6 cylinders,grey,13495
chevrolet,SUV,full-size,2012,good,gas,156386,automatic,4wd,8 cylinders,black,13495
kia,sedan,compact,2016,excellent,gas,60000,automatic,fwd,4 cylinders,white,13500
toyota,sedan,mid-size,2016,excellent,gas,76000,automatic,fwd,4 cylinders,grey,13500
acura,SUV,full-size,2015,excellent,gas,81000,automatic,fwd,6 cylinders,blue,13500
buick,SUV,mid-size,2014,excellent,gas,130642,automatic,fwd,6 cylinders,silver,13500
ram,truck,full-size,2001,good,diesel,140000,automatic,4wd,6 cylinders,white,13500
chevrolet,sedan,full-size,2017,excellent,gas,96000,automatic,4wd,4 cylinders,blue,13550
subaru,coupe,compact,2009,excellent,gas,99975,manual,4wd,4 cylinders,silver,13799
ford,truck,full-size,2007,good,diesel,93076,manual,rwd,6 cylinders,white,13800
nissan,sedan,mid-size,2016,like new,gas,75736,automatic,fwd,4 cylinders,white,13850
gmc,truck,full-size,2010,excellent,gas,98334,automatic,4wd,4 cylinders,white,13865
bmw,sedan,mid-size,2014,excellent,gas,104185,automatic,rwd,4 cylinders,blue,13877
honda,sedan,compact,2013,like new,gas,29582,automatic,fwd,4 cylinders,silver,13900
toyota,SUV,full-size,2013,good,gas,97243,automatic,4wd,4 cylinders,custom,13900
subaru,SUV,mid-size,2013,like new,gas,122235,automatic,4wd,4 cylinders,grey,13900
nissan,truck,mid-size,2015,excellent,gas,140000,automatic,4wd,6 cylinders,blue,13900
ram,pickup,full-size,2012,excellent,gas,143153,automatic,4wd,8 cylinders,white,13900
cadillac,sedan,full-size,2012,excellent,gas,55450,automatic,rwd,6 cylinders,white,13950
chevrolet,truck,full-size,2004,like new,gas,148000,automatic,4wd,8 cylinders,white,13950
chevrolet,sedan,mid-size,2017,like new,gas,30216,automatic,fwd,4 cylinders,white,13990
mini,hatchback,compact,2015,excellent,gas,47537,automatic,fwd,4 cylinders,grey,13990
buick,SUV,full-size,2012,excellent,gas,129094,automatic,fwd,6 cylinders,brown,13990
chevrolet,pickup,full-size,2011,excellent,gas,159376,automatic,4wd,8 cylinders,silver,13990
ford,convertible,sub-compact,2003,excellent,gas,41885,automatic,rwd,8 cylinders,silver,13995
ford,SUV,mid-size,2015,like new,gas,50071,automatic,4wd,4 cylinders,blue,13995
ford,SUV,sub-compact,2015,good,gas,62623,automatic,fwd,4 cylinders,silver,13995
chrysler,sedan,mid-size,2016,excellent,gas,70863,automatic,fwd,4 cylinders,blue,13995
chevrolet,van,mid-size,2012,good,gas,79946,automatic,rwd,8 cylinders,white,13995
chevrolet,van,full-size,2011,good,gas,89049,automatic,rwd,8 cylinders,red,13995
ford,SUV,full-size,2014,good,gas,103299,automatic,fwd,6 cylinders,grey,13995
chevrolet,coupe,compact,2014,excellent,gas,115000,automatic,rwd,6 cylinders,black,13995
ford,van,full-size,2012,good,gas,117156,automatic,rwd,8 cylinders,white,13995
mercedes-benz,sedan,mid-size,2013,excellent,gas,123000,automatic,rwd,6 cylinders,white,13995
jeep,SUV,mid-size,2015,like new,gas,125961,automatic,rwd,4 cylinders,black,13995
audi,convertible,mid-size,2012,like new,gas,130258,automatic,4wd,6 cylinders,black,13995
gmc,SUV,full-size,2013,good,gas,193595,automatic,fwd,6 cylinders,white,13995
kia,SUV,mid-size,2015,excellent,gas,55513,automatic,4wd,4 cylinders,black,13997
mini,hatchback,compact,2015,excellent,gas,43559,automatic,fwd,4 cylinders,orange,13999
honda,SUV,mid-size,2016,good,gas,39647,automatic,fwd,4 cylinders,white,14000
ford,pickup,full-size,2011,excellent,gas,122000,automatic,4wd,8 cylinders,red,14000
ford,pickup,full-size,2007,good,diesel,126000,automatic,4wd,8 cylinders,white,14000
ford,truck,full-size,2010,excellent,gas,140000,automatic,4wd,8 cylinders,silver,14000
ford,truck,full-size,2011,excellent,gas,170357,automatic,rwd,8 cylinders,silver,14000
buick,sedan,mid-size,2013,excellent,gas,21553,automatic,fwd,4 cylinders,white,14200
hyundai,coupe,compact,2014,excellent,gas,87150,manual,fwd,4 cylinders,blue,14225
chevrolet,truck,full-size,2015,good,gas,79313,automatic,rwd,4 cylinders,white,14253
jeep,SUV,mid-size,2015,excellent,gas,56112,automatic,fwd,4 cylinders,red,14488
nissan,wagon,mid-size,2015,excellent,gas,67084,automatic,4wd,4 cylinders,red,14495
nissan,SUV,mid-size,2013,excellent,gas,70934,automatic,4wd,6 cylinders,black,14495
chevrolet,truck,full-size,2011,excellent,gas,155057,automatic,4wd,8 cylinders,blue,14495
ford,truck,full-size,2004,good,diesel,166215,manual,4wd,8 cylinders,blue,14499
ford,sedan,mid-size,2016,like new,gas,21847,automatic,fwd,4 cylinders,white,14500
jeep,SUV,mid-size,2016,excellent,gas,53000,automatic,fwd,4 cylinders,silver,14500
honda,SUV,full-size,2013,excellent,gas,69043,automatic,fwd,6 cylinders,white,14500
infiniti,sedan,full-size,2009,excellent,gas,84000,automatic,rwd,6 cylinders,blue,14500
