manufacturer,type,size,year,condition,fuel,odometer,transmission,drive,cylinders,paint_color,price_class
chevrolet,sedan,full-size,2007,good,gas,210000,automatic,fwd,6 cylinders,silver,0~8000
chevrolet,SUV,full-size,2003,fair,gas,262000,automatic,rwd,8 cylinders,blue,0~8000
ford,truck,full-size,2007,good,gas,268693,automatic,4wd,8 cylinders,white,0~8000
honda,sedan,mid-size,2006,good,gas,311000,automatic,fwd,4 cylinders,silver,0~8000
subaru,SUV,mid-size,2004,good,gas,217000,automatic,4wd,4 cylinders,silver,0~8000
chrysler,mini-van,full-size,2008,good,gas,198000,automatic,fwd,6 cylinders,black,0~8000
volkswagen,sedan,compact,2008,excellent,gas,174000,manual,fwd,5 cylinders,black,0~8000
chevrolet,SUV,full-size,2002,excellent,gas,180200,automatic,4wd,6 cylinders,white,0~8000
volkswagen,sedan,compact,2002,fair,gas,78000,manual,fwd,6 cylinders,grey,0~8000
dodge,mini-van,full-size,2006,good,gas,95000,automatic,fwd,6 cylinders,black,0~8000
ford,SUV,mid-size,2005,good,gas,186000,automatic,fwd,6 cylinders,silver,0~8000
audi,sedan,full-size,2000,good,gas,187572,manual,4wd,6 cylinders,silver,0~8000
ford,sedan,mid-size,2005,good,gas,133000,automatic,fwd,5 cylinders,silver,0~8000
dodge,pickup,mid-size,2004,fair,gas,156000,automatic,4wd,8 cylinders,red,0~8000
acura,coupe,compact,2001,good,gas,183879,automatic,fwd,6 cylinders,silver,0~8000
gmc,SUV,mid-size,2002,good,gas,305000,automatic,4wd,6 cylinders,red,0~8000
volkswagen,hatchback,compact,2002,good,gas,116000,automatic,fwd,5 cylinders,green,0~8000
toyota,sedan,compact,2001,excellent,gas,136000,automatic,fwd,4 cylinders,silver,0~8000
jeep,SUV,full-size,2000,good,gas,160690,automatic,4wd,6 cylinders,silver,0~8000
nissan,sedan,compact,2001,excellent,gas,171000,automatic,fwd,4 cylinders,green,0~8000
honda,SUV,full-size,2002,good,gas,245000,automatic,4wd,4 cylinders,silver,0~8000
pontiac,coupe,mid-size,2007,good,gas,123427,automatic,fwd,4 cylinders,red,0~8000
mercedes-benz,sedan,full-size,2000,fair,gas,130208,automatic,rwd,8 cylinders,black,0~8000
ford,SUV,full-size,2006,good,gas,145600,automatic,fwd,6 cylinders,green,0~8000
jeep,hatchback,compact,2008,good,gas,158000,manual,fwd,4 cylinders,silver,0~8000
audi,sedan,mid-size,2006,excellent,gas,160579,manual,4wd,4 cylinders,blue,0~8000
buick,sedan,full-size,2001,good,gas,184072,automatic,fwd,6 cylinders,white,0~8000
honda,sedan,full-size,2002,good,gas,86000,automatic,fwd,4 cylinders,black,0~8000
chevrolet,sedan,mid-size,2004,excellent,gas,113526,automatic,fwd,6 cylinders,silver,0~8000
hyundai,sedan,compact,2001,like new,gas,69000,manual,fwd,4 cylinders,silver,0~8000
chevrolet,wagon,mid-size,2004,like new,gas,152000,automatic,fwd,6 cylinders,red,0~8000
dodge,hatchback,compact,2007,good,gas,184620,automatic,fwd,4 cylinders,white,0~8000
mazda,sedan,compact,2009,excellent,gas,187000,manual,fwd,4 cylinders,silver,0~8000
mazda,sedan,mid-size,2006,excellent,gas,188935,automatic,fwd,4 cylinders,black,0~8000
chrysler,convertible,compact,2003,excellent,gas,81788,automatic,fwd,6 cylinders,blue,0~8000
chrysler,sedan,compact,2007,good,gas,167532,automatic,fwd,4 cylinders,black,0~8000
hyundai,sedan,compact,2009,excellent,gas,180609,manual,fwd,4 cylinders,grey,0~8000
toyota,sedan,full-size,2001,fair,gas,81000,automatic,fwd,4 cylinders,silver,0~8000
chevrolet,sedan,compact,2010,good,gas,96748,automatic,fwd,4 cylinders,silver,0~8000
jaguar,sedan,mid-size,2004,fair,gas,116200,automatic,4wd,6 cylinders,black,0~8000
honda,coupe,full-size,2007,excellent,gas,130000,automatic,fwd,4 cylinders,blue,0~8000
hyundai,SUV,mid-size,2006,fair,gas,135000,automatic,fwd,4 cylinders,black,0~8000
dodge,hatchback,compact,2010,good,gas,150000,manual,fwd,4 cylinders,silver,0~8000
hyundai,SUV,mid-size,2004,good,gas,165320,automatic,4wd,6 cylinders,silver,0~8000
ram,truck,full-size,2003,fair,gas,172827,automatic,rwd,6 cylinders,white,0~8000
nissan,SUV,mid-size,2007,excellent,gas,187000,automatic,4wd,4 cylinders,blue,0~8000
ford,sedan,full-size,2006,good,gas,190000,automatic,fwd,6 cylinders,red,0~8000
mitsubishi,convertible,compact,2002,good,gas,204455,automatic,fwd,4 cylinders,white,0~8000
kia,sedan,mid-size,2009,good,gas,134000,automatic,fwd,4 cylinders,silver,0~8000
subaru,sedan,mid-size,2008,like new,gas,141631,manual,4wd,4 cylinders,silver,0~8000
chevrolet,SUV,full-size,2007,good,gas,102000,automatic,4wd,6 cylinders,red,0~8000
toyota,hatchback,mid-size,2007,good,gas,164000,automatic,fwd,4 cylinders,black,0~8000
chevrolet,coupe,compact,2006,good,gas,126800,manual,fwd,4 cylinders,black,0~8000
chevrolet,sedan,mid-size,2007,good,gas,188256,automatic,fwd,6 cylinders,black,0~8000
chevrolet,van,mid-size,2005,good,gas,228000,automatic,rwd,6 cylinders,red,0~8000
nissan,hatchback,mid-size,2000,good,gas,131000,automatic,rwd,6 cylinders,white,0~8000
mitsubishi,sedan,mid-size,2008,good,gas,152536,automatic,fwd,4 cylinders,white,0~8000
toyota,mini-van,full-size,2006,good,gas,195000,automatic,fwd,6 cylinders,brown,0~8000
nissan,SUV,full-size,2010,good,gas,199604,automatic,fwd,4 cylinders,brown,0~8000
audi,sedan,mid-size,2006,good,gas,16500,automatic,4wd,6 cylinders,silver,0~8000
ford,SUV,full-size,2006,excellent,gas,22800,automatic,4wd,8 cylinders,red,0~8000
chevrolet,sedan,mid-size,2011,like new,gas,104214,automatic,fwd,4 cylinders,white,0~8000
mercury,sedan,full-size,2005,good,gas,109500,automatic,rwd,8 cylinders,brown,0~8000
nissan,sedan,compact,2006,good,gas,117000,automatic,fwd,4 cylinders,silver,0~8000
nissan,SUV,full-size,2003,excellent,gas,147519,automatic,4wd,6 cylinders,silver,0~8000
chevrolet,sedan,full-size,2008,good,gas,155000,automatic,fwd,6 cylinders,red,0~8000
hyundai,sedan,mid-size,2006,good,gas,190000,automatic,fwd,6 cylinders,red,0~8000
dodge,sedan,compact,2005,excellent,gas,97117,automatic,fwd,4 cylinders,white,0~8000
toyota,sedan,mid-size,2001,excellent,gas,166313,automatic,fwd,4 cylinders,brown,0~8000
ford,sedan,mid-size,2011,excellent,gas,134200,automatic,fwd,4 cylinders,grey,0~8000
ford,sedan,compact,2006,excellent,gas,140000,automatic,fwd,4 cylinders,grey,0~8000
nissan,SUV,full-size,2004,excellent,gas,185747,automatic,4wd,6 cylinders,grey,0~8000
dodge,SUV,full-size,2009,good,gas,206149,automatic,fwd,4 cylinders,red,0~8000
toyota,sedan,compact,2007,good,gas,227109,automatic,fwd,4 cylinders,silver,0~8000
nissan,truck,full-size,2019,like new,gas,14240,automatic,rwd,8 cylinders,black,0~8000
ram,truck,full-size,2014,good,gas,68000,automatic,rwd,8 cylinders,silver,0~8000
toyota,sedan,compact,2005,good,gas,99800,automatic,fwd,4 cylinders,green,0~8000
saturn,SUV,mid-size,2006,fair,gas,112560,manual,fwd,4 cylinders,blue,0~8000
buick,sedan,mid-size,2006,excellent,gas,124749,automatic,fwd,6 cylinders,custom,0~8000
jaguar,sedan,full-size,2003,good,gas,127696,automatic,rwd,8 cylinders,blue,0~8000
mercedes-benz,SUV,mid-size,2002,good,gas,130000,automatic,4wd,8 cylinders,custom,0~8000
ford,truck,full-size,2007,good,gas,145000,automatic,rwd,6 cylinders,white,0~8000
kia,mini-van,mid-size,2006,excellent,gas,148101,automatic,fwd,6 cylinders,brown,0~8000
subaru,hatchback,mid-size,2005,excellent,gas,158000,automatic,4wd,4 cylinders,yellow,0~8000
honda,SUV,full-size,2004,good,gas,171000,automatic,4wd,6 cylinders,custom,0~8000
gmc,SUV,mid-size,2004,good,gas,172074,automatic,fwd,6 cylinders,black,0~8000
subaru,hatchback,compact,2005,good,gas,176000,manual,4wd,4 cylinders,silver,0~8000
ford,SUV,full-size,2005,excellent,gas,180000,automatic,rwd,6 cylinders,grey,0~8000
toyota,sedan,mid-size,2000,good,gas,180000,automatic,fwd,6 cylinders,silver,0~8000
buick,sedan,full-size,2008,good,gas,189300,automatic,fwd,6 cylinders,red,0~8000
ford,hatchback,compact,2012,excellent,gas,214000,automatic,fwd,4 cylinders,red,0~8000
lincoln,SUV,full-size,2007,fair,gas,220000,automatic,4wd,8 cylinders,silver,0~8000
honda,SUV,full-size,2004,good,gas,222000,automatic,4wd,6 cylinders,blue,0~8000
chevrolet,other,full-size,2000,fair,gas,317085,automatic,rwd,8 cylinders,white,0~8000
ford,van,full-size,2004,fair,gas,362654,automatic,fwd,8 cylinders,white,0~8000
honda,sedan,full-size,2002,excellent,gas,148450,automatic,fwd,4 cylinders,red,0~8000
ford,SUV,mid-size,2005,good,gas,139920,automatic,4wd,6 cylinders,white,0~8000
saturn,SUV,full-size,2009,excellent,gas,129000,automatic,4wd,6 cylinders,blue,0~8000
hyundai,coupe,compact,2006,good,gas,113000,automatic,fwd,6 cylinders,black,0~8000
subaru,wagon,mid-size,2010,excellent,gas,182458,manual,4wd,4 cylinders,silver,0~8000
mitsubishi,SUV,full-size,2003,good,gas,228714,automatic,4wd,6 cylinders,black,0~8000
hyundai,sedan,mid-size,2009,good,gas,170000,automatic,fwd,4 cylinders,black,0~8000
chrysler,hatchback,compact,2004,good,gas,136000,automatic,fwd,4 cylinders,custom,0~8000
toyota,sedan,full-size,2004,excellent,gas,180000,automatic,fwd,6 cylinders,silver,0~8000
honda,sedan,full-size,2001,excellent,gas,184768,automatic,fwd,6 cylinders,green,0~8000
ford,sedan,full-size,2008,excellent,gas,195000,automatic,fwd,4 cylinders,blue,0~8000
toyota,mini-van,full-size,2010,good,gas,214000,automatic,fwd,6 cylinders,blue,0~8000
ford,truck,full-size,2004,excellent,gas,122000,automatic,4wd,8 cylinders,white,0~8000
nissan,wagon,compact,2010,good,gas,127500,automatic,fwd,4 cylinders,silver,0~8000
chevrolet,sedan,full-size,2007,good,gas,140000,automatic,fwd,6 cylinders,grey,0~8000
kia,van,full-size,2007,good,gas,149751,automatic,fwd,6 cylinders,custom,0~8000
toyota,sedan,compact,2007,excellent,gas,197157,automatic,fwd,4 cylinders,silver,0~8000
ford,van,mid-size,2003,good,gas,149000,automatic,rwd,6 cylinders,grey,0~8000
mazda,sedan,mid-size,2007,good,gas,199055,automatic,fwd,4 cylinders,grey,0~8000
hyundai,SUV,mid-size,2009,good,gas,210780,automatic,fwd,4 cylinders,grey,0~8000
honda,van,full-size,2008,good,gas,196379,automatic,fwd,6 cylinders,silver,0~8000
saturn,mini-van,mid-size,2005,excellent,gas,144380,automatic,fwd,6 cylinders,white,0~8000
buick,SUV,mid-size,2004,good,gas,170000,automatic,fwd,6 cylinders,red,0~8000
rover,SUV,full-size,2005,good,gas,213000,automatic,4wd,8 cylinders,silver,0~8000
chevrolet,mini-van,mid-size,2002,like new,gas,67000,automatic,fwd,6 cylinders,brown,0~8000
hyundai,sedan,mid-size,2005,good,gas,98000,automatic,fwd,4 cylinders,silver,0~8000
kia,sedan,compact,2009,good,gas,107440,automatic,fwd,4 cylinders,red,0~8000
infiniti,sedan,mid-size,2000,excellent,gas,128000,automatic,fwd,6 cylinders,green,0~8000
lexus,SUV,mid-size,2000,like new,gas,151000,automatic,fwd,6 cylinders,white,0~8000
mitsubishi,coupe,mid-size,2011,like new,gas,171000,automatic,fwd,4 cylinders,orange,0~8000
mitsubishi,coupe,mid-size,2011,like new,gas,171000,automatic,fwd,4 cylinders,orange,0~8000
chevrolet,truck,full-size,2003,fair,gas,203523,automatic,4wd,8 cylinders,black,0~8000
honda,sedan,compact,2002,good,gas,204422,automatic,fwd,4 cylinders,blue,0~8000
chevrolet,sedan,mid-size,2008,excellent,gas,222002,automatic,fwd,6 cylinders,black,0~8000
toyota,sedan,compact,2007,good,gas,227109,automatic,fwd,4 cylinders,silver,0~8000
ford,SUV,full-size,2008,like new,gas,257501,automatic,fwd,6 cylinders,grey,0~8000
ford,SUV,full-size,2007,good,gas,261720,automatic,rwd,8 cylinders,white,0~8000
gmc,SUV,full-size,2002,excellent,gas,126000,automatic,rwd,8 cylinders,blue,0~8000
hyundai,sedan,mid-size,2008,excellent,gas,148000,automatic,fwd,4 cylinders,black,0~8000
audi,convertible,compact,2004,fair,gas,68000,automatic,4wd,6 cylinders,yellow,0~8000
honda,coupe,compact,2009,good,gas,136500,automatic,fwd,4 cylinders,black,0~8000
chevrolet,sedan,full-size,2011,excellent,gas,168000,automatic,fwd,6 cylinders,white,0~8000
chevrolet,SUV,full-size,2002,good,gas,189000,automatic,4wd,6 cylinders,red,0~8000
chrysler,convertible,compact,2006,good,gas,194000,automatic,fwd,4 cylinders,silver,0~8000
infiniti,sedan,mid-size,2003,good,gas,195000,automatic,fwd,6 cylinders,silver,0~8000
dodge,SUV,full-size,2005,good,gas,214554,automatic,4wd,8 cylinders,white,0~8000
acura,SUV,mid-size,2003,excellent,gas,229000,automatic,4wd,6 cylinders,black,0~8000
lexus,sedan,full-size,2005,good,gas,302000,automatic,fwd,8 cylinders,grey,0~8000
chevrolet,sedan,mid-size,2008,good,gas,78792,manual,fwd,4 cylinders,red,0~8000
mini,hatchback,compact,2005,good,gas,122000,manual,fwd,4 cylinders,brown,0~8000
nissan,SUV,mid-size,2006,good,gas,136000,automatic,4wd,6 cylinders,black,0~8000
toyota,hatchback,mid-size,2009,excellent,hybrid,217668,automatic,fwd,4 cylinders,black,0~8000
kia,SUV,mid-size,2005,excellent,gas,135000,automatic,fwd,4 cylinders,green,0~8000
ford,truck,mid-size,2002,good,gas,172060,automatic,rwd,6 cylinders,white,0~8000
toyota,sedan,full-size,2007,excellent,gas,188564,automatic,fwd,4 cylinders,grey,0~8000
honda,coupe,compact,2008,good,gas,100854,manual,fwd,4 cylinders,blue,0~8000
ford,wagon,full-size,2007,good,gas,130009,automatic,fwd,6 cylinders,green,0~8000
dodge,mini-van,mid-size,2014,good,gas,174000,automatic,fwd,6 cylinders,green,0~8000
mercury,sedan,mid-size,2010,excellent,gas,118000,automatic,fwd,6 cylinders,silver,0~8000
honda,SUV,mid-size,2005,good,gas,214000,manual,4wd,4 cylinders,black,0~8000
ford,wagon,full-size,2006,excellent,gas,300000,automatic,rwd,8 cylinders,white,0~8000
pontiac,sedan,full-size,2009,good,gas,145000,automatic,fwd,6 cylinders,grey,0~8000
dodge,truck,full-size,2003,good,gas,148400,automatic,4wd,8 cylinders,white,0~8000
hyundai,sedan,full-size,2009,good,gas,151200,automatic,fwd,4 cylinders,blue,0~8000
mercury,SUV,full-size,2006,good,gas,156800,automatic,4wd,6 cylinders,black,0~8000
cadillac,sedan,mid-size,2004,good,gas,168000,automatic,fwd,6 cylinders,red,0~8000
lexus,sedan,mid-size,2005,excellent,gas,263012,automatic,fwd,6 cylinders,black,0~8000
chevrolet,SUV,full-size,2004,excellent,gas,175000,automatic,4wd,8 cylinders,black,0~8000
subaru,wagon,mid-size,2006,good,gas,204650,automatic,4wd,4 cylinders,silver,0~8000
honda,SUV,full-size,2005,excellent,gas,135000,automatic,4wd,4 cylinders,brown,0~8000
chevrolet,sedan,sub-compact,2017,good,gas,162000,manual,fwd,4 cylinders,black,0~8000
dodge,other,mid-size,2007,good,gas,16300,manual,4wd,4 cylinders,red,0~8000
chevrolet,coupe,compact,2006,good,gas,84000,manual,fwd,4 cylinders,orange,0~8000
chevrolet,sedan,full-size,2009,excellent,gas,110000,automatic,fwd,6 cylinders,red,0~8000
ford,truck,full-size,2002,excellent,gas,118500,automatic,rwd,6 cylinders,blue,0~8000
mazda,hatchback,compact,2009,excellent,gas,140000,automatic,fwd,4 cylinders,white,0~8000
nissan,hatchback,compact,2011,good,gas,144461,automatic,fwd,4 cylinders,white,0~8000
infiniti,sedan,mid-size,2009,fair,gas,145690,automatic,rwd,6 cylinders,black,0~8000
chevrolet,sedan,mid-size,2014,excellent,gas,161984,automatic,fwd,4 cylinders,grey,0~8000
dodge,sedan,mid-size,2010,excellent,gas,169635,automatic,fwd,4 cylinders,white,0~8000
honda,mini-van,full-size,2007,excellent,gas,180000,automatic,fwd,6 cylinders,red,0~8000
chevrolet,pickup,full-size,2001,good,gas,194000,automatic,4wd,8 cylinders,blue,0~8000
rover,SUV,full-size,2007,good,gas,200000,automatic,4wd,8 cylinders,silver,0~8000
toyota,sedan,compact,2011,good,gas,223000,automatic,fwd,4 cylinders,blue,0~8000
chevrolet,truck,full-size,2005,fair,gas,224000,automatic,4wd,8 cylinders,grey,0~8000
chevrolet,truck,full-size,2002,excellent,gas,238000,automatic,rwd,6 cylinders,white,0~8000
hyundai,sedan,mid-size,2011,good,gas,139000,automatic,fwd,4 cylinders,blue,0~8000
ford,sedan,sub-compact,2012,good,gas,168900,automatic,fwd,4 cylinders,red,0~8000
toyota,sedan,mid-size,2003,excellent,gas,197888,automatic,fwd,6 cylinders,silver,0~8000
hyundai,sedan,mid-size,2010,excellent,gas,145500,automatic,fwd,4 cylinders,black,0~8000
chevrolet,sedan,mid-size,2012,good,gas,147000,automatic,fwd,4 cylinders,white,0~8000
chevrolet,sedan,mid-size,2013,excellent,gas,189253,automatic,fwd,6 cylinders,silver,0~8000
mitsubishi,hatchback,compact,2015,good,gas,48554,automatic,fwd,3 cylinders,white,0~8000
ford,SUV,mid-size,2010,good,gas,123500,automatic,4wd,6 cylinders,blue,0~8000
honda,coupe,compact,2006,good,gas,267058,manual,fwd,4 cylinders,red,0~8000
chevrolet,SUV,mid-size,2010,good,gas,140000,automatic,fwd,6 cylinders,custom,0~8000
chevrolet,sedan,sub-compact,2010,good,gas,116686,automatic,fwd,4 cylinders,silver,0~8000
chrysler,convertible,mid-size,2008,excellent,gas,101000,automatic,rwd,4 cylinders,silver,0~8000
toyota,coupe,compact,2001,good,gas,152000,manual,fwd,4 cylinders,silver,0~8000
toyota,sedan,full-size,2005,excellent,gas,126626,automatic,fwd,4 cylinders,silver,0~8000
chevrolet,SUV,full-size,2003,good,gas,160000,automatic,4wd,8 cylinders,black,0~8000
honda,sedan,full-size,2005,excellent,gas,167000,automatic,fwd,4 cylinders,blue,0~8000
chevrolet,SUV,mid-size,2006,good,gas,174841,automatic,4wd,6 cylinders,blue,0~8000
jaguar,sedan,full-size,2007,good,gas,181200,automatic,rwd,8 cylinders,silver,0~8000
toyota,pickup,mid-size,2000,good,gas,220544,automatic,4wd,8 cylinders,white,0~8000
pontiac,SUV,mid-size,2007,excellent,gas,124616,automatic,4wd,6 cylinders,white,0~8000
saturn,SUV,mid-size,2006,excellent,gas,132000,automatic,4wd,6 cylinders,red,0~8000
dodge,mini-van,mid-size,2011,like new,gas,138539,automatic,fwd,6 cylinders,white,0~8000
ford,truck,full-size,2003,good,gas,197000,automatic,4wd,6 cylinders,black,0~8000
honda,sedan,mid-size,2007,good,gas,211000,automatic,fwd,4 cylinders,blue,0~8000
chevrolet,truck,full-size,2003,good,gas,221179,automatic,4wd,8 cylinders,red,0~8000
toyota,sedan,mid-size,2008,good,gas,76000,automatic,fwd,4 cylinders,silver,0~8000
nissan,sedan,compact,2014,excellent,gas,91918,automatic,fwd,4 cylinders,grey,0~8000
chevrolet,mini-van,mid-size,2002,like new,gas,67000,automatic,fwd,6 cylinders,brown,0~8000
buick,sedan,full-size,2008,good,gas,107093,automatic,fwd,6 cylinders,silver,0~8000
mercury,sedan,full-size,2005,good,gas,130037,automatic,rwd,8 cylinders,grey,0~8000
audi,hatchback,full-size,2008,excellent,gas,132919,manual,fwd,4 cylinders,silver,0~8000
toyota,sedan,mid-size,2003,excellent,gas,134096,automatic,fwd,4 cylinders,white,0~8000
cadillac,sedan,full-size,2004,like new,gas,137000,automatic,rwd,6 cylinders,custom,0~8000
honda,sedan,compact,2005,like new,gas,137085,automatic,fwd,4 cylinders,silver,0~8000
buick,SUV,mid-size,2007,excellent,gas,137105,automatic,fwd,6 cylinders,red,0~8000
nissan,coupe,mid-size,2008,excellent,gas,138658,automatic,fwd,4 cylinders,white,0~8000
acura,SUV,mid-size,2003,good,gas,143703,automatic,4wd,6 cylinders,brown,0~8000
dodge,SUV,mid-size,2009,good,gas,145000,automatic,fwd,6 cylinders,black,0~8000
toyota,sedan,mid-size,2007,good,gas,167000,automatic,fwd,4 cylinders,blue,0~8000
toyota,sedan,mid-size,2004,like new,gas,168000,automatic,fwd,6 cylinders,purple,0~8000
ram,truck,full-size,2005,good,gas,175774,automatic,rwd,8 cylinders,white,0~8000
gmc,SUV,full-size,2001,good,gas,220000,automatic,4wd,8 cylinders,red,0~8000
hyundai,sedan,mid-size,2008,good,gas,120955,automatic,fwd,6 cylinders,blue,0~8000
ford,sedan,compact,2010,excellent,gas,124662,automatic,fwd,4 cylinders,red,0~8000
nissan,coupe,compact,2008,good,gas,76000,automatic,fwd,4 cylinders,blue,0~8000
chevrolet,coupe,sub-compact,2009,good,gas,97000,automatic,fwd,4 cylinders,red,0~8000
bmw,coupe,compact,2004,good,gas,118500,automatic,rwd,6 cylinders,grey,0~8000
jaguar,sedan,mid-size,2005,excellent,gas,127300,automatic,rwd,8 cylinders,black,0~8000
